phase,t,committed,reserve
release,0.1,7.319251537322998,2.680748462677002
release,0.7000000000000001,6.414160251617432,3.5858397483825684
release,1.3,5.6209917068481445,4.3790082931518555
release,1.9000000000000001,4.925905227661133,5.074094772338867
release,2.5,4.316772937774658,5.683227062225342
release,3.1,3.7829649448394775,6.2170350551605225
release,3.7,3.315167188644409,6.684832811355591
release,4.3,2.905216693878174,7.094783306121826
release,4.9,2.5459601879119873,7.454039812088013
release,5.5,2.2311294078826904,7.76887059211731
release,6.1000000000000005,1.9552301168441772,8.044769883155823
release,6.7,1.7134482860565186,8.286551713943481
release,7.300000000000001,1.501564860343933,8.498435139656067
release,7.9,1.315882921218872,8.684117078781128
release,8.5,1.1531620025634766,8.846837997436523
release,9.1,1.0105631351470947,8.989436864852905
release,9.700000000000001,0.885597825050354,9.114402174949646
release,10.3,0.776085615158081,9.223914384841919
release,10.9,0.6801156401634216,9.319884359836578
release,11.5,0.5960131883621216,9.403986811637878
